Date;Month;Year;Material Supplier;Product Code;Machine;Inspection Type;Defect Type;Defect Mode ;Cause;Type of Cause;Number of Repairs;Inspector;Shift
04/11/2024;Nov;2024;Supplier_2;Product_2;Machine_D;First ;Visual;DT;Mold;Dirty Mold;2;Inspector_10;Midnight_Shift
04/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Dimension;COS;Machine;Setup and Adjustment Machine;4;Inspector_1;Midnight_Shift
04/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Visual;SR;Mold;Dirty Mold;6;Inspector_1;Midnight_Shift
04/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;SR;Mold;Dirty Mold;1;Inspector_10;Midnight_Shift
04/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Visual;DM;Mold;Dirty Mold;4;Inspector_1;Midnight_Shift
04/11/2024;Nov;2024;Supplier_2;Product_7;Machine_E;First ;Dimension;FOS;Machine;Setup and Adjustment Machine;5;Inspector_3;Afternoon_Shift
05/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Visual;DT;Mold;Dirty Mold;5;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Visual;SR;Machine;Lain-Lain;2;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;6;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Dimension;FOS;Machine;Setup and Adjustment Machine;4;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_1;Product_23;Machine_C;First ;Visual;PU;Machine;Setup and Adjustment Machine;5;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;First ;Dimension;EOS;Machine;Setup and Adjustment Machine;3;Inspector_5;Morning_Shift
05/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;First ;Visual;SR;Machine;Dirty Mold;1;Inspector_7;Morning_Shift
05/11/2024;Nov;2024;Supplier_2;Product_15;Machine_E;First ;Dimension;FOS;Machine;Setup and Adjustment Machine;3;Inspector_4;Afternoon_Shift
05/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;SR;Machine;Setup and Adjustment Machine;1;Inspector_4;Afternoon_Shift
05/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_4;Afternoon_Shift
05/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;In-process;Visual;DM;Mold;Dirty Mold;2;Inspector_10;Midnight_Shift
05/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DM;Mold;Dirty Mold;4;Inspector_10;Midnight_Shift
06/11/2024;Nov;2024;Supplier_2;Product_15;Machine_E;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_5;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_7;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_7;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_7;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_8;Machine_A;In-process;Visual;PU;Machine;Setup and Adjustment Machine;1;Inspector_7;Morning_Shift
06/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
06/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;3;Inspector_5;Morning_Shift
06/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Visual;DM;Mold;Dirty Mold;4;Inspector_5;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_17;Machine_C;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_7;Morning_Shift
06/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_10;Midnight_Shift
07/11/2024;Nov;2024;Supplier_1;Product_3;Machine_C;First ;Dimension;BR;Mold;Mold Failures;1;Inspector_5;Morning_Shift
07/11/2024;Nov;2024;Supplier_1;Product_3;Machine_C;First ;Dimension;BR;Mold;Mold Failures;1;Inspector_5;Morning_Shift
07/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Visual;DM;Mold;Dirty Mold;2;Inspector_3;Afternoon_Shift
07/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Visual;WV;Machine;Setup and Adjustment Machine;10;Inspector_4;Afternoon_Shift
07/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;4;Inspector_4;Afternoon_Shift
07/11/2024;Nov;2024;Supplier_1;Product_3;Machine_C;First ;Visual;SR;Mold;Dirty Mold;4;Inspector_3;Afternoon_Shift
07/11/2024;Nov;2024;Supplier_2;Product_20;Machine_E;First ;Dimension;FOS;Machine;Setup and Adjustment Machine;3;Inspector_4;Afternoon_Shift
07/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;2;Inspector_10;Midnight_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;3;Inspector_4;Afternoon_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Visual;DM;Machine;Setup and Adjustment Machine;2;Inspector_4;Afternoon_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;2;Inspector_4;Afternoon_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Visual;DM;Mold;Dirty Mold;3;Inspector_4;Afternoon_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Visual;SR;Machine;Setup and Adjustment Machine;17;Inspector_4;Afternoon_Shift
08/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;First ;Visual;DT;Mold;Dirty Mold;3;Inspector_1;Midnight_Shift
11/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;First ;Dimension;EOS;Machine;Setup and Adjustment Machine;2;Inspector_3;Morning_Shift
11/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;First ;Visual;SR;Mold;Dirty Mold;4;Inspector_5;Morning_Shift
11/11/2024;Nov;2024;Supplier_1;Product_23;Machine_B;In-process;Visual;DM;Machine;Setup and Adjustment Machine;20;Inspector_5;Morning_Shift
11/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;First ;Visual;SR;Mold;Dirty Mold;15;Inspector_3;Morning_Shift
11/11/2024;Nov;2024;Supplier_2;Product_6;Machine_B;First ;Visual;SR;Mold;Dirty Mold;7;Inspector_4;Midnight_Shift
11/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;In-process;Visual;SR;Mold;Dirty Mold;3;Inspector_4;Midnight_Shift
12/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;In-process;Visual;DT;Machine;Lain-Lain;4;Inspector_3;Morning_Shift
12/11/2024;Nov;2024;Supplier_2;Product_1;Machine_E;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_1;Afternoon_Shift
12/11/2024;Nov;2024;Supplier_2;Product_5;Machine_D;First ;Visual;SR;Mold;Dirty Mold;2;Inspector_1;Morning_Shift
12/11/2024;Nov;2024;Supplier_2;Product_1;Machine_E;In-process;Visual;DM;Machine;Machine Failures;4;Inspector_4;Midnight_Shift
12/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;In-process;Dimension;DT;Mold;Dirty Mold;6;Inspector_3;Morning_Shift
12/11/2024;Nov;2024;Supplier_2;Product_18;Machine_E;First ;Dimension;MOS;Machine;Machine Failures;4;Inspector_3;Morning_Shift
13/11/2024;Nov;2024;Supplier_2;Product_5;Machine_D;In-process;Visual;DT;Mold;Dirty Mold;6;Inspector_3;Morning_Shift
13/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Visual;BR;Mold;Mold Failures;1;Inspector_3;Morning_Shift
13/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Dimension;EOS;Machine;Setup and Adjustment Machine;8;Inspector_1;Afternoon_Shift
13/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Visual;DM;Mold;Dirty Mold;6;Inspector_1;Afternoon_Shift
14/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;12;Inspector_1;Afternoon_Shift
14/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;9;Inspector_4;Midnight_Shift
14/11/2024;Nov;2024;Supplier_2;Product_16;Machine_D;First ;Visual;SR;Mold;Dirty Mold;2;Inspector_4;Midnight_Shift
15/11/2024;Nov;2024;Supplier_2;Product_18;Machine_C;First ;Visual;SR;Mold;Dirty Mold;3;Inspector_3;Morning_Shift
15/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;6;Inspector_1;Afternoon_Shift
16/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;11;Inspector_3;Morning_Shift
16/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;In-process;Visual;SR;Machine;Setup and Adjustment Machine;1;Inspector_4;Afternoon_Shift
16/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Visual;DM;Machine;Setup and Adjustment Machine;11;Inspector_3;Morning_Shift
16/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Visual;MR;Machine;Setup and Adjustment Machine;3;Inspector_3;Morning_Shift
18/11/2024;Nov;2024;Supplier_2;Product_2;Machine_E;First ;Visual;SR;Mold;Dirty Mold;3;Inspector_5;Morning_Shift
18/11/2024;Nov;2024;Supplier_2;Product_2;Machine_E;First ;Visual;DT;Mold;Dirty Mold;3;Inspector_5;Morning_Shift
18/11/2024;Nov;2024;Supplier_2;Product_2;Machine_E;First ;Visual;MR;Machine;Setup and Adjustment Machine;5;Inspector_5;Morning_Shift
18/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;1;Inspector_4;Afternoon_Shift
18/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Visual;SR;Mold;Dirty Mold;7;Inspector_4;Afternoon_Shift
18/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Visual;DM;Mold;Dirty Mold;14;Inspector_4;Afternoon_Shift
18/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;15;Inspector_4;Afternoon_Shift
18/11/2024;Nov;2024;Supplier_3;Product_3;Machine_C;In-process;Visual;CP;Mold;Mold Failures;1;Inspector_4;Afternoon_Shift
18/11/2024;Nov;2024;Supplier_3;Product_3;Machine_C;First ;Visual;DT;Mold;Dirty Mold;2;Inspector_1;Midnight_Shift
18/11/2024;Nov;2024;Supplier_3;Product_3;Machine_C;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_1;Midnight_Shift
18/11/2024;Nov;2024;Supplier_3;Product_3;Machine_C;First ;Dimension;EOS;Machine;Setup and Adjustment Machine;2;Inspector_1;Midnight_Shift
19/11/2024;Nov;2024;Supplier_2;Product_5;Machine_B;First ;Visual;SR;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
19/11/2024;Nov;2024;Supplier_3;Product_3;Machine_C;In-process;Visual;DT;Mold;Dirty Mold;4;Inspector_5;Morning_Shift
19/11/2024;Nov;2024;Supplier_2;Product_12;Machine_A;First ;Visual;PU;Machine;Setup and Adjustment Machine;4;Inspector_5;Morning_Shift
19/11/2024;Nov;2024;Supplier_2;Product_5;Machine_B;First ;Visual;DT;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
19/11/2024;Nov;2024;Supplier_2;Product_7;Machine_A;First ;Visual;DM;Mold;Dirty Mold;5;Inspector_4;Afternoon_Shift
19/11/2024;Nov;2024;Supplier_2;Product_7;Machine_A;In-process;Visual;DM;Mold;Dirty Mold;1;Inspector_4;Afternoon_Shift
20/11/2024;Nov;2024;Supplier_2;Product_5;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_5;Morning_Shift
20/11/2024;Nov;2024;Supplier_2;Product_5;Machine_B;In-process;Dimension;BR;Mold;Mold Failures;1;Inspector_5;Morning_Shift
20/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;In-process;Visual;DT;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
20/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;4;Inspector_10;Morning_Shift
20/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
20/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;In-process;Dimension;GOS;Machine;Machine Failures;13;Inspector_4;Afternoon_Shift
20/11/2024;Nov;2024;Supplier_1;Product_23;Machine_D;In-process;Visual;DM;Machine;Machine Failures;13;Inspector_4;Afternoon_Shift
20/11/2024;Nov;2024;Supplier_2;Product_6;Machine_D;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_1;Midnight_Shift
21/11/2024;Nov;2024;Supplier_2;Product_6;Machine_D;In-process;Visual;BR;Mold;Dirty Mold;5;Inspector_5;Morning_Shift
21/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Visual;DM;Machine;Setup and Adjustment Machine;7;Inspector_10;Morning_Shift
21/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;11;Inspector_10;Morning_Shift
21/11/2024;Nov;2024;Supplier_2;Product_1;Machine_A;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_4;Afternoon_Shift
21/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;GOS;Machine;Machine Failures;4;Inspector_1;Midnight_Shift
21/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;COS;Machine;Machine Failures;10;Inspector_1;Midnight_Shift
21/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;JOS;Machine;Machine Failures;5;Inspector_1;Midnight_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;4;Inspector_4;Afternoon_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;COS;Machine;Setup and Adjustment Machine;7;Inspector_4;Afternoon_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;2;Inspector_1;Midnight_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;1;Inspector_1;Midnight_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_1;Midnight_Shift
22/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;First ;Visual;DT;Mold;Dirty Mold;2;Inspector_1;Midnight_Shift
23/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;In-process;Visual;DT;Mold;Mold Failures;1;Inspector_5;Morning_Shift
23/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;In-process;Visual;SR;Machine;Machine_Dirty;3;Inspector_5;Morning_Shift
23/11/2024;Nov;2024;Supplier_1;Product_23;Machine_E;In-process;Visual;DT;Machine;Machine_Dirty;3;Inspector_5;Morning_Shift
23/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Visual;DM;Mold;Dirty Mold;2;Inspector_4;Afternoon_Shift
23/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;2;Inspector_1;Midnight_Shift
25/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;In-process;Visual;DM;Machine;Setup and Adjustment Machine;3;Inspector_10;Morning_Shift
25/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;In-process;Visual;JOS;Machine;Setup and Adjustment Machine;2;Inspector_10;Morning_Shift
25/11/2024;Nov;2024;Supplier_2;Product_6;Machine_D;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_5;Morning_Shift
25/11/2024;Nov;2024;Supplier_2;Product_12;Machine_C;First ;Visual;PU;Mold;Mold Failures;1;Inspector_5;Morning_Shift
25/11/2024;Nov;2024;Supplier_2;Product_7;Machine_C;First ;Dimension;BR;Mold;Mold Failures;1;Inspector_5;Morning_Shift
25/11/2024;Nov;2024;Supplier_1;Product_3;Machine_C;First ;Visual;DM;Mold;Dirty Mold;2;Inspector_1;Afternoon_Shift
25/11/2024;Nov;2024;Supplier_1;Product_9;Machine_B;In-process;Dimension;JOS;Machine;Setup and Adjustment Machine;2;Inspector_3;Afternoon_Shift
25/11/2024;Nov;2024;Supplier_2;Product_6;Machine_D;In-process;Visual;PU;Machine;Setup and Adjustment Machine;3;Inspector_4;Midnight_Shift
25/11/2024;Nov;2024;Supplier_1;Product_3;Machine_C;In-process;Visual;DM;Machine;Setup and Adjustment Machine;2;Inspector_4;Midnight_Shift
26/11/2024;Nov;2024;Supplier_2;Product_7;Machine_D;First ;Visual;PU;Machine;Setup and Adjustment Machine;1;Inspector_10;Morning_Shift
26/11/2024;Nov;2024;Supplier_2;Product_12;Machine_A;First ;Visual;PU;Mold;Setup and Adjustment Machine;25;Inspector_10;Morning_Shift
26/11/2024;Nov;2024;Supplier_1;Product_10;Machine_B;First ;Visual;DT;Mold;Dirty Mold;3;Inspector_3;Afternoon_Shift
26/11/2024;Nov;2024;Supplier_2;Product_5;Machine_A;First ;Visual;PU;Mold;Mold Failures;3;Inspector_5;Morning_Shift
26/11/2024;Nov;2024;Supplier_2;Product_5;Machine_A;First ;Visual;DT;Mold;Mold Failures;3;Inspector_5;Morning_Shift
26/11/2024;Nov;2024;Supplier_2;Product_12;Machine_A;First ;Visual;PU;Machine;Setup and Adjustment Machine;2;Inspector_1;Afternoon_Shift
26/11/2024;Nov;2024;Supplier_2;Product_12;Machine_A;First ;Visual;DM;Mold;Dirty Mold;2;Inspector_1;Afternoon_Shift
28/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Visual;DM;Machine;Setup and Adjustment Machine;4;Inspector_3;Morning_Shift
28/11/2024;Nov;2024;Supplier_2;Product_12;Machine_A;In-process;Visual;PU;Machine;Setup and Adjustment Machine;5;Inspector_10;Morning_Shift
29/11/2024;Nov;2024;Supplier_2;Product_15;Machine_C;First ;Visual;DT;Mold;Dirty Mold;1;Inspector_5;Morning_Shift
29/11/2024;Nov;2024;Supplier_2;Product_5;Machine_E;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_4;Afternoon_Shift
29/11/2024;Nov;2024;Supplier_2;Product_5;Machine_E;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_4;Afternoon_Shift
29/11/2024;Nov;2024;Supplier_2;Product_5;Machine_E;In-process;Visual;PU;Machine;Setup and Adjustment Machine;6;Inspector_4;Afternoon_Shift
30/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Dimension;GOS;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
30/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Visual;DT;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
30/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Visual;DM;Machine;Setup and Adjustment Machine;5;Inspector_10;Morning_Shift
30/11/2024;Nov;2024;Supplier_1;Product_9;Machine_D;First ;Dimension;JOS;Machine;Setup and Adjustment Machine;2;Inspector_10;Morning_Shift
02/12/2024;Dec;2024;Supplier_3;Product_3;Machine_E;First ;Visual;DM;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
02/12/2024;Dec;2024;Supplier_3;Product_3;Machine_E;First ;Visual;SR;Mold;Dirty Mold;2;Inspector_5;Morning_Shift
02/12/2024;Dec;2024;Supplier_3;Product_3;Machine_E;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;2;Inspector_5;Morning_Shift
02/12/2024;Dec;2024;Supplier_2;Product_12;Machine_A;In-process;Visual;SR;Mold;Dirty Mold;3;Inspector_5;Morning_Shift
02/12/2024;Dec;2024;Supplier_2;Product_12;Machine_A;In-process;Visual;CP;Mold;Mold Failures;1;Inspector_5;Morning_Shift
